exc,eng,med,frs
0.54333335,0.46414286,0.41,0.37355554
0.56,0.47642857,0.4195,0.38466668
0.57666665,0.4897143,0.44,0.38777778
0.5883333,0.507,0.4475,0.4048889
0.608,0.5212857,0.456,0.408
0.62366664,0.5335714,0.4695,0.4191111
0.6383333,0.54785717,0.481,0.4352222
0.656,0.5601429,0.5015,0.44633332
0.6706667,0.5724286,0.512,0.46244445
0.6933333,0.5947143,0.5175,0.46455556
0.711,0.601,0.53,0.48166665
0.72566664,0.6232857,0.5515,0.48777777
0.74333334,0.6325714,0.562,0.49688888
0.754,0.64985716,0.5755,0.516
0.78066665,0.66414285,0.589,0.5281111
0.79033333,0.67242855,0.5955,0.5312222
0.809,0.6867143,0.613,0.5453333
0.83066666,0.702,0.6265,0.55444443
0.84033334,0.7152857,0.63,0.57255554
0.862,0.7375714,0.6455,0.5746667
0.87166667,0.74885714,0.659,0.58977777
0.8973333,0.7581428,0.6685,0.6068889
0.91,0.7814286,0.687,0.616
0.92366666,0.7947143,0.6995,0.6231111
0.94633335,0.803,0.709,0.63122225
0.957,0.8232857,0.7195,0.64133334
0.9716667,0.8305714,0.735,0.6574444
0.99633336,0.84585714,0.7485,0.66355556
1.0,0.86714286,0.756,0.6846667
0.9953333,0.84585714,0.7425,0.66455555
0.97966665,0.8305714,0.735,0.6524444
0.964,0.82028574,0.7265,0.6433333
0.9443333,0.807,0.71,0.6392222
0.9266667,0.7937143,0.6925,0.6211111
0.904,0.7814286,0.683,0.611
0.8923333,0.76614285,0.6725,0.6058889
0.8756667,0.7458571,0.662,0.5887778
0.858,0.73057145,0.6445,0.57566667
0.8423333,0.7242857,0.63,0.56755555
0.83066666,0.708,0.6215,0.5554444
